id_datacenter;nome_datacenter;operadora;endereco;cep;cidade;estado;pais;latitude;longitude;status;stage;tipo_listagem;tipo_capacidade;tags;link_datacenter;mw_construido;mw_referenciado;whitespace_construido_sqm;whitespace_referenciado_sqm;ano_operacional;tipo_construcao;tipo_ocupacao;carga_piso_max_kg_sqm;redundancia_refrigeracao;cctv;controle_acesso_cartao;biometria;tier_projetado;tier_certificado;pci_dss;iso9001;iso14001;iso22301;iso27001;iso45001;iso50001;soc1;soc2;soc3;colo_suites;colo_cages;colo_cabinets;colo_partial_cabinets;colo_shared_rackspace;colo_footprints;colo_remote_hands;colo_build_to_suit;cloud_gpu;cloud_managed;cloud_baremetal;cloud_public_cloud;qtd_ixps;qtd_clouds;qtd_redes_presentes;qtd_provedores_rede;qtd_provedores_servico;codigo_site;peeringdb_id;desc_resumo_pt;desc_qualidade_texto;desc_pue_mencionado;desc_wue_ou_agua_mencionado;desc_energia_renovavel_pct;desc_fonte_energia;desc_tecnologia_resfriamento;desc_investimento_mencionado;desc_empregos_gerados;desc_carga_alvo;desc_expansao_planejada_mw;desc_aprovacoes_regulatorias;desc_iniciativas_ambientais;desc_cronograma_texto
dc_6fba998120;Ascenty - Hortolandia HTL5;Ascenty Data Centers;Rua Papa João Paulo II, 4;13185-252;Hortolândia;Campinas;Brazil;-22.8958925;-47.1801919;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/campinas/ascenty-htl05/;30.0;30.0;22984.0;22984.0;2022.0;Purpose-built;;2520.0;N+1;1.0;1.0;1.0;;;2.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;0;HTL05;11687.0;;;;;;;;;;;;;;
dc_708ead2d07;Scala Data Centers SPOAPA01;Scala Data Centers;Av. Pernambuco 1124 ;90240;Porto Alegre;Porto Alegre;Brazil;-30.0028052;-51.1979623;1;2;Facility;Colocation;Hyperscale-Ready;https://www.datacentermap.com/brazil/porto-alegre/scala-spoapa01/;8.4;8.4;;;2023.0;Purpose-built;Sole-tenant;;;;;;;;1.0;1.0;1.0;;1.0;1.0;;;;;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0;0;8;0;0;SPOAPA01;14336.0;A Scala Data Centers oferece soluções por meio de suas instalações HyperCore e HyperEdge. Constrói data centers energeticamente eficientes em grandes campi (HyperCore) ou oferece unidades pré-fabricadas de rápida implantação (MiniPods) em localidades de borda (HyperEdge), permitindo que clientes entrem em novos mercados rapidamente e escalem de forma sustentável. A empresa possui um vasto portfólio de terrenos com mais de 21 milhões de pés quadrados em 57 propriedades estrategicamente localizadas na América Latina, próximas a grandes provedores de nuvem e pontos de ancoragem de cabos submarinos, facilitando conexões com América do Norte, Ásia, Europa e África. Atualmente conta com mais de 60 MW de capacidade operacional na América Latina, com outros 900 MW em construção ou planejados. Afirma manter o PUE mais eficiente da América Latina, abaixo de 1,4, e alcançou WUE zero ao empregar resfriamento por ar em suas instalações mais novas.;boilerplate_operadora;PUE abaixo de 1,4 (o mais eficiente da América Latina);WUE zero, por uso de resfriamento a ar nas instalações mais novas;;;Resfriamento por ar (air-cooling);;;['provedores de nuvem'];900 MW em construção ou planejados (mais de 60 MW operacionais);[];[];
dc_9977316327;Equinix RJ3;Equinix;Rua Maria Soares Sendas, 6-B/2;25575-825;São João de Meriti;Rio de Janeiro;Brazil;-22.7963142;-43.3485363;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/rio-de-janeiro/equinix-rj3/;;;1467.0;1467.0;2025.0;Purpose-built;;;N+2;1.0;1.0;1.0;;;;;;;;;;;;;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;6;0;0;RJ3;15048.0;O data center IBX RJ3, no Rio de Janeiro, oferece instalações premium de colocation e serviços de interconexão. O RJ3 disponibiliza uma ampla gama de serviços de rede.;boilerplate_operadora;;;;;;;;['colocation', 'interconexão', 'serviços de rede'];;[];[];
dc_a2fa58a743;Ascenty - Vinhedo VIN2;Ascenty Data Centers;Av. 2, 50, Quadra G1, Distrito Industrial Benedito Storani;13288-162;Vinhedo;Campinas;Brazil;-23.0703237;-47.0129472;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/campinas/ascenty-vin02/;34.0;34.0;24991.0;24991.0;;Purpose-built;;1526.0;N+1;1.0;1.0;1.0;3.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;1;34;2;1;VIN02;7590.0;;;;;;;;;;;;;;
dc_bc34fbde0a;Pecém Data Center;Casa dos Ventos;Complexo Industrial e Portuário do Pecém;62670-000;São Gonçalo do Amarante;Fortaleza;Brazil;-3.653321;-38.8251428;1;1;Facility;Colocation;Hyperscale-Ready;https://www.datacentermap.com/brazil/fortaleza/casa-dos-ventos-data-center/;900.0;900.0;;;2027.0;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;;;A Casa dos Ventos está desenvolvendo um campus hyperscale de data center na Zona de Processamento de Exportação (ZPE) do Complexo Industrial e Portuário do Pecém (CIPP), em São Gonçalo do Amarante, na Região Metropolitana de Fortaleza, Brasil. O projeto representa um investimento de R$50 bilhões e busca integrar infraestrutura digital com energia renovável, reforçando o papel do Brasil na transição energética global. A primeira fase entregará 300MW de capacidade de TI, com escalabilidade até 900MW, alimentada por fontes renováveis, incluindo um complexo fotovoltaico dedicado em Pentecoste, a cerca de 100 km. A instalação terá sistemas de resfriamento em circuito fechado para minimizar o consumo de água — estimado em apenas 30 metros cúbicos por dia — e será totalmente voltada a serviços de exportação de dados, graças à localização estratégica próxima a estações de amarração de cabos submarinos. O projeto recebeu aprovações regulatórias do ONS e do CZPE, permitindo operar sob as Normas Brasileiras de Serviços (NBSs) para serviços internacionais de dados. A construção deve começar no fim de 2025, com operação a partir de 2027.;detalhado;;Consumo de água estimado em apenas 30 metros cúbicos por dia, com sistemas de resfriamento em circuito fechado;Alimentado por fontes renováveis (complexo fotovoltaico dedicado em Pentecoste);Energia renovável, incluindo complexo fotovoltaico dedicado em Pentecoste (~100 km de distância);Sistemas de resfriamento em circuito fechado (closed-loop);R$50 bilhões;;['hyperscale', 'serviços de exportação de dados'];Primeira fase de 300MW de TI, escalável até 900MW;['Operador Nacional do Sistema Elétrico (ONS)', 'Conselho Nacional das Zonas de Processamento de Exportação (CZPE)', 'Normas Brasileiras de Serviços (NBSs) para serviços internacionais de dados'];['Uso de energia renovável', 'Resfriamento em circuito fechado para minimizar consumo de água'];Construção prevista para começar no fim de 2025 e operações iniciando em 2027
dc_c79290add5;RT-One Uberlândia;RT-One;BR-497 highway;38438-899;Uberlândia;Uberlandia;Brazil;-18.94893942693562;-48.33580789389012;1;0;Facility;Colocation;;https://www.datacentermap.com/brazil/uberlandia/rt-one-uberlndia/;400.0;400.0;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;;;A RT-One está construindo em Uberlândia (MG, Brasil) o que descreve como o maior data center de Inteligência Artificial da América Latina. O empreendimento ocupa mais de 1 milhão de m² às margens da rodovia BR-497 e representa investimento superior a R$ 6 bilhões. A capacidade inicial será de 100 MW, com planos de expansão para até 400 MW. O site é voltado a processamento de alto desempenho, nuvem soberana, cibersegurança e cargas de IA, seguindo padrões internacionais de eficiência energética, com uso de 100% de energia renovável e tecnologias avançadas de resfriamento. A conservação ambiental está integrada ao projeto do campus, com parcela significativa destinada a Área de Preservação Permanente. A meta de PUE é de 1,1 a 1,2, entre as mais baixas do setor. O projeto pretende impulsionar o desenvolvimento econômico local por meio da geração de empregos e da capacitação de talentos em transformação digital.;especifico_do_site;1,1-1,2 (meta);;100%;Energia 100% renovável;Tecnologias avançadas de resfriamento (não especificadas);Mais de R$ 6 bilhões;Geração de empregos e capacitação de talentos (sem número informado);['IA', 'processamento de alto desempenho', 'nuvem soberana', 'cibersegurança'];Expansão de 100 MW iniciais para até 400 MW;[];['Área de Preservação Permanente em parcela significativa do campus', 'Uso de 100% de energia renovável', 'Padrões internacionais de eficiência energética', 'PUE alvo de 1,1-1,2'];"Em construção; capacidade inicial de 100 MW com expansão futura"
dc_c81b687e80;Scala Data Centers SGIGSM01;Scala Data Centers;Rod. Pres. Dutra 4300;25565;Sao Joao de Meriti;Rio de Janeiro;Brazil;-22.796438;-43.356317;1;2;Facility;Colocation;Hyperscale-Ready;https://www.datacentermap.com/brazil/rio-de-janeiro/scala-sgigsm01/;13.2;13.2;;;2023.0;Purpose-built;;;;;;;;;1.0;1.0;1.0;;1.0;1.0;;;;;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;SGIGSM01;13398.0;A Scala Data Centers oferece soluções por meio de suas instalações HyperCore e HyperEdge. Constrói data centers energeticamente eficientes em grandes campi (HyperCore) ou oferece unidades pré-fabricadas de rápida implantação (MiniPods) em localidades de borda (HyperEdge), permitindo que clientes entrem em novos mercados rapidamente e escalem de forma sustentável. A empresa possui um vasto portfólio de terrenos com mais de 21 milhões de pés quadrados em 57 propriedades estrategicamente localizadas na América Latina, próximas a grandes provedores de nuvem e pontos de ancoragem de cabos submarinos, facilitando conexões com América do Norte, Ásia, Europa e África. Atualmente conta com mais de 60 MW de capacidade operacional na América Latina, com outros 900 MW em construção ou planejados. Afirma manter o PUE mais eficiente da América Latina, abaixo de 1,4, e alcançou WUE zero ao empregar resfriamento por ar em suas instalações mais novas.;boilerplate_operadora;PUE abaixo de 1,4 (o mais eficiente da América Latina);WUE zero, por uso de resfriamento a ar nas instalações mais novas;;;Resfriamento por ar (air-cooling);;;['provedores de nuvem'];900 MW em construção ou planejados (mais de 60 MW operacionais);[];[];
dc_dced39dd76;Pecém Data Center;Casa dos Ventos;Complexo Industrial e Portuário do Pecém;62670-000;São Gonçalo do Amarante;Fortaleza;Brazil;-3.653321;-38.8251428;1;1;Facility;Colocation;Hyperscale-Ready;https://www.datacentermap.com/brazil/fortaleza/casa-dos-ventos-data-center/;900.0;900.0;;;2027.0;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;;;A Casa dos Ventos está desenvolvendo um campus hyperscale de data center na Zona de Processamento de Exportação (ZPE) do Complexo Industrial e Portuário do Pecém (CIPP), em São Gonçalo do Amarante, na Região Metropolitana de Fortaleza, Brasil. O projeto representa um investimento de R$50 bilhões e busca integrar infraestrutura digital com energia renovável, reforçando o papel do Brasil na transição energética global. A primeira fase entregará 300MW de capacidade de TI, com escalabilidade até 900MW, alimentada por fontes renováveis, incluindo um complexo fotovoltaico dedicado em Pentecoste, a cerca de 100 km. A instalação terá sistemas de resfriamento em circuito fechado para minimizar o consumo de água — estimado em apenas 30 metros cúbicos por dia — e será totalmente voltada a serviços de exportação de dados, graças à localização estratégica próxima a estações de amarração de cabos submarinos. O projeto recebeu aprovações regulatórias do ONS e do CZPE, permitindo operar sob as Normas Brasileiras de Serviços (NBSs) para serviços internacionais de dados. A construção deve começar no fim de 2025, com operação a partir de 2027.;detalhado;;Consumo de água estimado em apenas 30 metros cúbicos por dia, com sistemas de resfriamento em circuito fechado;Alimentado por fontes renováveis (complexo fotovoltaico dedicado em Pentecoste);Energia renovável, incluindo complexo fotovoltaico dedicado em Pentecoste (~100 km de distância);Sistemas de resfriamento em circuito fechado (closed-loop);R$50 bilhões;;['hyperscale', 'serviços de exportação de dados'];Primeira fase de 300MW de TI, escalável até 900MW;['Operador Nacional do Sistema Elétrico (ONS)', 'Conselho Nacional das Zonas de Processamento de Exportação (CZPE)', 'Normas Brasileiras de Serviços (NBSs) para serviços internacionais de dados'];['Uso de energia renovável', 'Resfriamento em circuito fechado para minimizar consumo de água'];Construção prevista para começar no fim de 2025 e operações iniciando em 2027
dc_dd22938cb6;Equinix SP5x;Equinix;Av. Marcos Penteado de Ulhôa Rodrigues, 888;06543-001;Santana de Parnaíba;Sao Paulo;Brazil;-23.46393786425595;-46.8626817427955;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/equinix-sp5x/;14.4;14.4;5087.0;5087.0;2021.0;;;;N+2;1.0;1.0;1.0;;;2.0;1.0;;1.0;1.0;;1.0;2.0;2.0;;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;0;SP5x;14845.0;O data center SP5x, em São Paulo, é uma instalação xScale dedicada a implantações hyperscale, conectando serviços de nuvem aos ambientes da Equinix em São Paulo. Os data centers da empresa em São Paulo concentram densamente empresas de serviços financeiros, provedores de serviços de nuvem, empresas de conteúdo digital e plataformas de mídia social. Os clientes também podem se interconectar com empresas colocadas nas instalações da Equinix no Rio de Janeiro.;descritivo_especifico_curto;;;;;;;;['hyperscale', 'cloud', 'serviços financeiros', 'conteúdo digital', 'mídia social'];;[];[];
dc_ef06bc479b;Ascenty - Sumare SUM1;Ascenty Data Centers;Rodovia Anhanguera s/n, Parque das Industrias (Nova Veneza);13177-435;Sumaré;Campinas;Brazil;-22.8132231;-47.2126154;1;2;Facility;Colocation;Carrier Neutral;https://www.datacentermap.com/brazil/campinas/rodovia-anhanguera-bldg-1/;14.0;14.0;;;2017.0;;;1564.0;N+1;1.0;1.0;1.0;3.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;1;0;0;SUM01;7584.0;O Data Center Sumaré 1 (Rodovia Anhanguera, s/n, Edifício #1) conta com sistemas redundantes de alta eficiência e desempenho operacional. A infraestrutura garante segurança física e lógica, com disponibilidade 24x7x365. O site possui 104.500 pés quadrados (cerca de 9.700 m²) de piso elevado e 16 MW de capacidade total de energia, com subestação elétrica própria. Além disso, é um data center carrier-neutral e possui conexão direta com os principais PIX (pontos de troca de tráfego) do Brasil.;especifico_do_site;;;;Subestação elétrica própria;;;;['colocation', 'conectividade / carrier-neutral'];;[];[];
dc_f7606e1e75;Ascenty - Sao Paulo SP4;Ascenty Data Centers;Avenida Roberto Pinto Sobrinho, 350;06276-016;Osasco;Sao Paulo;Brazil;-23.4898885;-46.7752556;1;2;Facility;Colocation;;https://www.datacentermap.com/brazil/sao-paulo/ascenty-sp4/;9.0;9.0;7497.0;7497.0;2023.0;Purpose-built;Sole-tenant;1526.0;N+1;1.0;1.0;1.0;3.0;;1.0;;1.0;;1.0;;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;89;1;1;SP04;13720.0;"O Data Center ""São Paulo 4"" está localizado em um complexo com outras três mega unidades, em localização privilegiada para atender à alta demanda do mercado nessa região. O ""São Paulo 4"" possui 9,2 MW de energia e mais de 7.200 m² de área total, com o mesmo conceito de infraestrutura robusta e moderna de todos os Data Centers da Ascenty, com redundância e escalabilidade em todos os sistemas.";especifico_do_site_curto;;;;;;;;[];;[];[];
