id,org_id,org_name,campus_id,name,aka,name_long,website,social_media,clli,rencode,npanxx,notes,net_count,ix_count,carrier_count,sales_email,sales_phone,tech_email,tech_phone,available_voltage_services,diverse_serving_substations,property,region_continent,status_dashboard,logo,created,updated,status,address1,address2,city,country,state,zipcode,floor,suite,latitude,longitude,endereco_formatado_cidade_datacenter,latitude_cidade_datacenter,longitude_cidade_datacenter
1565,35201,Cirion,,Cirion Porto Alegre,,Cirion Technologies,https://ciriontechnologies.com,"{'service': 'website', 'identifier': 'https://ciriontechnologies.com'}",,,,,13,1,1,contato.br@ciriontechnologies.com,551139572200.0,dl-ipnoc-lat@ciriontechnologies.com,,,,,South America,,,2013-10-22T00:00:00Z,2025-09-26T22:44:38Z,ok,"Avenida Carlos Gomes, 141 Sala 806",Auxiliadora,Porto Alegre,BR,RS,90480-003,,,-30.023646,-51.184129,"Porto Alegre, RS, Brazil",-30.0368176,-51.2089887
1585,2,"Equinix, Inc.",,Equinix SP1 - São Paulo,,,https://www.equinix.com/locations/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp1/,"{'service': 'website', 'identifier': 'https://www.equinix.com/locations/americas-colocation/brazil-colocation/sao-paulo-data-centers/sp1/'}",,,,,83,4,3,,,,,,,,South America,,,2013-08-12T00:00:00Z,2025-09-26T22:44:39Z,ok,"Rua Dr. Miguel Couto, 58",Centro,São Paulo,BR,SP,01008010,,,-23.545988,-46.635836,"São Paulo, Brazil",-23.5557714,-46.6395571
1586,2,"Equinix, Inc.",,Equinix RJ1 - Rio de Janeiro,,,https://www.equinix.com/locations/americas-colocation/brazil-colocation/rio-de-janeiro-data-centers/rj1/,"{'service': 'website', 'identifier': 'https://www.equinix.com/locations/americas-colocation/brazil-colocation/rio-de-janeiro-data-centers/rj1/'}",,,,,52,3,3,,,,,,,,South America,,,2013-08-12T00:00:00Z,2025-09-26T22:44:39Z,ok,"Voluntários da Pátria Street, 360",Botafogo,Rio de Janeiro,BR,RJ,22270010,,,-22.954737,-43.1946,"Rio de Janeiro, Brazil",-22.9068467,-43.1728965
1641,8346,Laboratorio Nacional de Computacao Cientifica,,LNCC,,,http://www.lncc.br,"{'service': 'website', 'identifier': 'http://www.lncc.br'}",,,,,3,1,0,,,,,,,,South America,,,2013-09-18T00:00:00Z,2025-09-26T22:44:42Z,ok,Av. GetÃºlio Vargas 333 - Quitandinha,,Rio de Janeiro,BR,RJ,25651-075,,,-22.529901,-43.217133,"Rio de Janeiro, Brazil",-22.9068467,-43.1728965
1685,8580,Backbone-BR Servicos em Telecom,,B-BRIX - SPO1,,,http://www.backbone-br.com.br,"{'service': 'website', 'identifier': 'http://www.backbone-br.com.br'}",,,,,1,0,0,,,,,,,,South America,,,2013-11-20T00:00:00Z,2025-09-26T22:44:46Z,ok,Tambore - Barueri,,Barueri,BR,SP,06460-120,,,-23.497107,-46.814556,"Barueri - São Paulo, Brazil",-23.5035038,-46.8785555
1743,8505,Adylnet Telecom,,Adylnet Telecom - Porto Alegre,Adylnet Telecom,Adylnet Telecom,https://www.adyl.com.br/,"{'service': 'facebook', 'identifier': 'adyltelecom'}; {'service': 'instagram', 'identifier': 'adyltelecom'}; {'service': 'linkedin', 'identifier': 'adylnettelecom'}; {'service': 'website', 'identifier': 'https://www.adyl.com.br/'}",,,,,14,1,0,silvio@adyl.net.br,555421218999.0,n3@adyl.net.br,555421218920.0,,False,Owner,South America,,,2014-02-25T00:00:00Z,2026-03-23T18:46:52Z,ok,"Rua Germano Petersen Júnior, 101",Bairro Auxiliadora,Porto Alegre,BR,RS,90540-140,,8º,-30.017148,-51.190773,"Porto Alegre, RS, Brazil",-30.0368176,-51.2089887
1775,9028,Ativas,,Ativas,,,http://www.ativas.com.br,"{'service': 'website', 'identifier': 'http://www.ativas.com.br'}",,,,,13,0,1,,,,,,,,South America,,,2014-04-01T00:00:00Z,2025-09-26T22:44:55Z,ok,,,Belo Horizonte,BR,MG,,,,,,"Belo Horizonte, Minas Gerais, Brazil",-19.919052,-43.9386685
1789,8342,Nextel Telecomunicacoes Ltda.,,Nextel MSO SPO,,,http://www.nextel.com.br,"{'service': 'website', 'identifier': 'http://www.nextel.com.br'}",,,,,0,0,0,,,,,,,,South America,,,2014-04-09T00:00:00Z,2025-09-26T22:44:56Z,ok,R. Cajuru 533,,São Paulo,BR,SP,03045,,,-23.542416,-46.598948,"São Paulo, Brazil",-23.5557714,-46.6395571
1790,8342,Nextel Telecomunicacoes Ltda.,,Nextel MSO RJO,,,http://www.nextel.com.br,"{'service': 'website', 'identifier': 'http://www.nextel.com.br'}",,,,,0,0,0,,,,,,,,South America,,,2014-04-09T00:00:00Z,2025-09-26T22:44:56Z,ok,Rua Pereira de Figueredo 860,Oswaldo Cruz,Rio de Janeiro,BR,RJ,21341,,,-22.877352,-43.352306,"Rio de Janeiro, Brazil",-22.9068467,-43.1728965
1795,9149,Data Center Rio,,Data Center Rio,,,http://www.datacenterrio.com.br,"{'service': 'website', 'identifier': 'http://www.datacenterrio.com.br'}",,,,,0,0,0,,,,,,,,South America,,,2014-04-22T00:00:00Z,2025-09-26T22:44:56Z,ok,"Rua JosÃ© Eugenio, 19",,Rio de Janeiro,BR,RJ,20941-140,,,-22.90836,-43.221214,"Rio de Janeiro, Brazil",-22.9068467,-43.1728965
1838,9340,Network Engineering,,Terra Network Brasil S.A,,,http://www.terra.com.br,"{'service': 'website', 'identifier': 'http://www.terra.com.br'}",,,,,1,0,0,,,,,,,,South America,,,2014-05-30T00:00:00Z,2025-09-26T22:45:01Z,ok,"Rua General JoÃ£o Manoel, 90",,Porto Alegre,BR,RS,90010-030,,,-30.029599,-51.23382,"Porto Alegre, RS, Brazil",-30.0368176,-51.2089887
1839,9340,Network Engineering,,Terra Network Brasil S.A - SAO-01,,,http://www.terra.com.br,"{'service': 'website', 'identifier': 'http://www.terra.com.br'}",,,,,1,0,0,,,,,,,,South America,,,2014-05-30T00:00:00Z,2025-09-26T22:45:01Z,ok,"Av. das Nações Unidas, 12901",,São Paulo,BR,SP,04576,12,,-23.609889,-46.697227,"São Paulo, Brazil",-23.5557714,-46.6395571
1840,9340,Network Engineering,,Terra Network Brasil S.A - SAO-02,,,http://www.terra.com.br,"{'service': 'website', 'identifier': 'http://www.terra.com.br'}",,,,,1,0,0,,,,,,,,South America,,,2014-05-30T00:00:00Z,2025-09-26T22:45:01Z,ok,"Av. TamborÃ©, 341/371",,Barueri,BR,SP,06460-000,,,,,"Barueri - São Paulo, Brazil",-23.5035038,-46.8785555
1899,2,"Equinix, Inc.",,Equinix RJ2 - Rio de Janeiro,,,https://www.equinix.com/locations/americas-colocation/brazil-colocation/rio-de-janeiro-data-centers/rj2/,"{'service': 'website', 'identifier': 'https://www.equinix.com/locations/americas-colocation/brazil-colocation/rio-de-janeiro-data-centers/rj2/'}",,,,,180,5,7,,,,,,,,South America,,,2014-09-06T00:00:00Z,2025-09-26T22:45:12Z,ok,"Estrada Adhemar Bebiano, 1380",Del Castilho,Rio de Janeiro,BR,RJ,21051-070,,,-22.871261,-43.272742,"Rio de Janeiro, Brazil",-22.9068467,-43.1728965
1903,18207,ELETRONET S.A.,,Eletronet - Sao Paulo,,,https://eletronet.com/,"{'service': 'website', 'identifier': 'https://eletronet.com/'}",,,,,65,2,1,,,,,48 VDC; 480 VAC,,,South America,,,2014-09-08T00:00:00Z,2026-04-27T11:04:47Z,ok,100 Av Alfredo Egídio De Souza Aranha,Chácara Santo Antônio,São Paulo,BR,SP,04726-170,,Bloco C,-23.632684,-46.712046,"São Paulo, Brazil",-23.5557714,-46.6395571
2124,19674,Megatelecom Telecomunicacoes Ltda,,Teleporto Rio de Janeiro,,,http://www.internexa.com,"{'service': 'website', 'identifier': 'http://www.internexa.com'}",,,,,73,1,3,,,,,,,,South America,,,2015-02-16T00:00:00Z,2025-09-26T22:45:46Z,ok,Av Pesidente Vargas 3131 16 Andar Of 1602,,Rio de Janeiro,BR,RJ,20210-030,,,-22.910096,-43.204392,"Rio de Janeiro, Brazil",-22.9068467,-43.1728965
2179,11128,Ultranet Telecom,,Ultranet SP1,,,http://ultranet.com.br,"{'service': 'website', 'identifier': 'http://ultranet.com.br'}",,,,,1,0,0,,,,,,,,South America,,,2015-04-06T00:00:00Z,2025-09-26T22:45:57Z,ok,Av Lins de Vasconcelos 1042,,São Paulo,BR,SP,01538000,,,-23.572415,-46.623074,"São Paulo, Brazil",-23.5557714,-46.6395571
2223,4855,G8,,PIX Samm Goiânia,,,http://www.g8.net.br,"{'service': 'website', 'identifier': 'http://www.g8.net.br'}",,,,,13,1,0,,,,,,,,South America,,,2015-07-02T00:00:00Z,2025-09-26T22:46:02Z,ok,"Av. T-63, 3182 - 14Âº - Setor Bueno",Ed. Aquarius Center,Goiânia,BR,GO,74115-100,,,-16.714319,-49.264947,"Goiânia, Goiás, Brazil",-16.6868491,-49.2707899
2271,11871,Eletronorte,,Eletronorte Brasilia,,,http://www.eln.gov.br/,"{'service': 'website', 'identifier': 'http://www.eln.gov.br/'}",,,,,8,0,0,,,,,,,,South America,,,2015-07-02T00:00:00Z,2025-09-26T22:46:11Z,ok,"SCN Quadra 06 Conj. A, Blocos B e C, Entrada Norte 2, Asa Norte",,Brasília,BR,,70716-901,,,-15.786671,-47.892954,"Brasília - Brasilia, Brasília - Federal District, Brazil",-15.7975154,-47.89188739999999
2272,4855,G8,,G8 Teleporto Serra do Curral Belo Horizonte,,,http://www.g8.net.br,"{'service': 'website', 'identifier': 'http://www.g8.net.br'}",,,,,5,0,0,,,,,,,,South America,,,2015-07-02T00:00:00Z,2025-09-26T22:46:11Z,ok,"Avenida Nossa Senhora do Carmo, 99",,Belo Horizonte,BR,MG,30310-000,,,-19.941038,-43.933155,"Belo Horizonte, Minas Gerais, Brazil",-19.919052,-43.9386685
2303,12164,Wanhouse Soluções em Tecnologia LTDA - EPP,,IDC Wanhouse,,,http://www.wanhouse.com.br,"{'service': 'website', 'identifier': 'http://www.wanhouse.com.br'}",,,,,1,0,0,,,,,,,,South America,,,2015-12-10T00:00:00Z,2025-09-26T22:46:15Z,ok,Av. Tancredo Neves 1483,,Aracaju,BR,SE,49040-490,,,-10.951463,-37.06587,"Aracaju, Sergipe, Brazil",-10.9265404,-37.0731147
2506,13279,Vogel Soluções em Telecom e Informática S/A,,SouthTech Telecom - Porto Alegre,,,http://www.stech.net.br,"{'service': 'website', 'identifier': 'http://www.stech.net.br'}",,,,,4,1,0,,,,,,,,South America,,,2016-01-19T00:00:00Z,2025-09-26T22:46:46Z,ok,"Rua General Bento Martins, 24",Centro Histórico,Porto Alegre,BR,RS,90010-080,8 andar,,-30.030376,-51.235574,"Porto Alegre, RS, Brazil",-30.0368176,-51.2089887
2529,13453,76 TELECOMUNICAÇÃO LTDA,,Smart Telecom Telecomunicações LTDA,,,http://www.76telecom.com.br,"{'service': 'website', 'identifier': 'http://www.76telecom.com.br'}",,,,,3,0,0,,,,,,,,South America,,,2016-02-04T00:00:00Z,2025-09-26T22:46:50Z,ok,"Rua Vergueiro, 1353 - Torre Norte - Sala 102 - Vila Mariana",,São Paulo,BR,,,,,-23.574127,-46.640383,"São Paulo, Brazil",-23.5557714,-46.6395571
2544,13544,Linkfull Corporate,,Linkfull Rio de Janeiro,,,http://www.linkfull.com.br,"{'service': 'website', 'identifier': 'http://www.linkfull.com.br'}",,,,,6,1,0,,,,,,,,South America,,,2016-02-16T00:00:00Z,2025-09-26T22:46:54Z,ok,av presidente vargas 3131 16 andar,,Rio de Janeiro,BR,RJ,20299932,,,-22.910131,-43.204381,"Rio de Janeiro, Brazil",-22.9068467,-43.1728965
2690,13799,Pgnet Provedor,,PGNet Provedor,,,http://www.pgnetprovedor.com.br,"{'service': 'website', 'identifier': 'http://www.pgnetprovedor.com.br'}",,,,,0,0,0,,,,,,,,South America,,,2016-03-26T20:32:10Z,2025-09-26T22:47:11Z,ok,"Rua Duque de Caixias,470",,Joao Pessoa,BR,PB,58010-821,,,-7.119678,-34.883987,"João Pessoa, Paraíba, Brazil",-7.118835199999999,-34.8814339
2708,13853,Turbozone Internet,,TURBOZONE FEC01,,,http://www.turbozoneinternet.com.br,"{'service': 'website', 'identifier': 'http://www.turbozoneinternet.com.br'}",,,,,1,0,1,comercial@turbozoneinternet.com.br,,noc@turbozoneinternet.com.br,,,,,South America,,,2016-03-31T15:46:16Z,2025-09-26T22:47:12Z,ok,"Rua Humaitá, 29 - Sobradinho",,Feira De Santana,BR,BA,44021-175,,,-12.239827,-38.973899,"Feira de Santana - Maria Quitéria, Feira de Santana - Bahia, Brazil",-12.2535848,-38.9600762
2732,11841,ASAP GLOBAL TELECOM LTDA,,Data Center ASAP SP1,ASAP TELECOM,,http://www.asaptelecom.com.br,"{'service': 'website', 'identifier': 'http://www.asaptelecom.com.br'}",,,,,11,1,0,comercial@asaptelecom.com.br,551126671208.0,cgr@asaptelecom.com.br,551126671208.0,480 VAC,,,South America,https://www.asaptelecom.com.br/,,2016-04-06T14:29:14Z,2025-09-26T22:47:14Z,ok,"Avenida das Nações Unidas, 22540",Vila Almeida,São Paulo,BR,SP,04795-000,Pavimento 01 C,,-23.678168,-46.699025,"São Paulo, Brazil",-23.5557714,-46.6395571
2736,10126,Global Village Telecom,,Global Village Telecom,,,http://www.gvt.com.br,"{'service': 'website', 'identifier': 'http://www.gvt.com.br'}",,,,,1,0,0,,,,,,,,South America,,,2016-04-08T13:20:59Z,2025-09-26T22:47:15Z,ok,Rua Lourenço Pinto 299,,Curitiba,BR,PR,80200-100,,,-25.435845,-49.267985,"Curitiba, Paraná, Brazil",-25.4268985,-49.2651984
2738,13945,TxFiber Telecom Eireli,,Txfiber,,,http://www.txfiber.com.br,"{'service': 'website', 'identifier': 'http://www.txfiber.com.br'}",,,,,0,0,0,,,,,,,,South America,,,2016-04-09T12:19:23Z,2025-09-26T22:47:15Z,ok,"Praça São Roque, 45",,Taquarituba,BR,SP,18740-000,,,-23.534214,-49.244649,"Taquarituba - São Paulo, 18740-000, Brazil",-23.5326784,-49.2439095
2812,7838,Ascenty DataCenters e Telecom,,Ascenty CPS01 - Campinas,,,https://www.ascenty.com/data-centers/campinas/campinas-1/,"{'service': 'website', 'identifier': 'https://www.ascenty.com/data-centers/campinas/campinas-1/'}",,,,,33,1,1,,,,,,,,South America,,,2016-05-06T14:01:06Z,2026-02-20T20:15:28Z,ok,Av Pierre Simon de Laplace n1211,,Campinas,BR,SP,13069-320,,,-22.850918,-47.154706,"Campinas - São Paulo, Brazil",-22.9050824,-47.0613327
2851,14121,Fundacao Parque Tecnologico Itaipu - Brasil,,Fundacao Parque Tecnologico Itaipu - Brasil,Itaipu Parquetec,Itaipu Parquetec,http://www.pti.org.br,"{'service': 'website', 'identifier': 'http://www.pti.org.br'}",,,,Caixa Postal 2039,4,1,0,,,noc@itaipuparquetec.org.br,,,,,South America,,,2016-05-18T16:47:21Z,2025-09-26T22:47:25Z,ok,"Av. Tancredo Neves, 6731",Jardim Itaipu,Foz do Iguacu,BR,PR,85867-900,,,-25.446945,-54.585134,"Foz do Iguaçu, Paraná, Brazil",-25.5165101,-54.585403
2953,14403,ISH Tecnologia SA,,ISH DATACENTER VITÓRIA,,,http://www.ish.com.br/datacenter,"{'service': 'website', 'identifier': 'http://www.ish.com.br/datacenter'}",,,,,2,0,0,,,,,,,,South America,,,2016-06-15T13:44:51Z,2025-09-26T22:47:31Z,ok,"Rua Judith Maria Tovar Varejão, 355",,Vitória,BR,ES,29050-360,,,-20.317331,-40.290094,"Vitoria, Vitória - Espírito Santo, Brazil",-20.3196711,-40.3385246
3090,14625,PG Net Comercio de Comp. LTDA,,Claudio Evangelista da Silva,,,http://www.pgnet.com.br,"{'service': 'website', 'identifier': 'http://www.pgnet.com.br'}",,,,,0,0,0,,,,,,,,South America,,,2016-07-20T11:59:13Z,2025-09-26T22:47:45Z,ok,"Costa e Silva, 609",,Praia Grande,BR,SP,11701-000,,,-24.007907,-46.413833,"Praia Grande - São Paulo, Brazil",-24.0089072,-46.4125304
3194,5342,UPX TECHNOLOGIES,,UPX São Paulo,,,https://www.upx.com,"{'service': 'website', 'identifier': 'https://www.upx.com'}",,,,,3,0,0,,,,,,,,South America,,,2016-09-01T17:18:35Z,2025-09-26T22:47:52Z,ok,"Alameda Araguaia, 3641",,Barueri,BR,SP,06455-000,,,-23.5027,-46.827255,"Barueri - São Paulo, Brazil",-23.5035038,-46.8785555
3480,8015,PERSIS TELECOM,,DC LDA1,,,http://www.persistelecom.com.br,"{'service': 'website', 'identifier': 'http://www.persistelecom.com.br'}",,,,,1,1,0,comercial@persistelecom.com.br,,noc@persistelecom.com.br,,,,,South America,,,2016-11-29T12:36:39Z,2025-09-26T22:48:21Z,ok,"Av. Jules Verne, 1111",Pq Industrial Cacique,Londrina,BR,PR,86072-450,,,-23.284817,-51.207839,"Londrina, Paraná, Brazil",-23.3197305,-51.1662008
3675,12820,CENTURY TELECOM,,CENTURY TELECOM LTDA,,,http://www.century.net.br,"{'service': 'website', 'identifier': 'http://www.century.net.br'}",,,,,5,0,1,,,,,,,,South America,,,2017-02-06T12:45:50Z,2025-09-26T22:48:38Z,ok,"Rua Tenente garro, 118",14 Andar,Belo Horizonte,BR,MG,30240-360,,,-19.926169,-43.918422,"Belo Horizonte, Minas Gerais, Brazil",-19.919052,-43.9386685
3796,30098,BR.Digital,,BR.Digital Porto Alegre (PAE1),,BR.Digital,https://br.digital/,"{'service': 'website', 'identifier': 'https://br.digital/'}",,,,,35,1,4,,,,,,,,South America,,,2017-03-07T01:39:21Z,2025-10-24T21:01:59Z,ok,"Rua General Câmara, 156",3o Andar,Porto Alegre,BR,RS,90010-230,,,-30.028618,-51.230161,"Porto Alegre, RS, Brazil",-30.0368176,-51.2089887
3809,1245,NIC.br,,NIC-NU (Nações Unidas),,,http://ix.br/,"{'service': 'website', 'identifier': 'http://ix.br/'}",,,,,3,1,0,,,,,,,,South America,,,2017-03-08T10:53:57Z,2025-09-26T22:48:45Z,ok,"Av. das Nações Unidas, 11541, 7° andar",,São Paulo,BR,SP,04578-000,,,-23.523719,-46.762259,"São Paulo, Brazil",-23.5557714,-46.6395571
3810,1245,NIC.br,,NIC-JD (João Dias),,,http://ix.br/,"{'service': 'website', 'identifier': 'http://ix.br/'}",,,,,14,2,0,,,,,,,,South America,,,2017-03-08T10:56:41Z,2025-09-26T22:48:45Z,ok,"Av. João Dias, 3163",,São Paulo,BR,SP,04723-003,,,-23.645149,-46.730636,"São Paulo, Brazil",-23.5557714,-46.6395571
3819,16406,EMPRESA DE TECNOLOGIA DA INFORMACAO DO CEARA-ETICE,,ETICE COLOC,,,http://etice.ce.gov.br/,"{'service': 'website', 'identifier': 'http://etice.ce.gov.br/'}",,,,,13,1,1,,,,,,,,South America,,,2017-03-13T13:48:17Z,2025-09-26T22:48:46Z,ok,Avenida Pontes Vieira 220 - São João do Tauape,,Fortaleza,BR,CE,60130-240,,,-3.753445,-38.518646,"Fortaleza - Ceará, Brazil",-3.7327203,-38.5270134
3824,13977,Mowry,,TASCOM TELECOMUNICAÇÕES LTDA,,,http://www.tascom.com.br,"{'service': 'website', 'identifier': 'http://www.tascom.com.br'}",,,,,2,1,0,,,,,,,,South America,,,2017-03-16T19:32:12Z,2025-09-26T22:48:46Z,ok,"Av. Tancredo Neves, 620",Sala 513,Salvador,BR,BA,418020-020,,,-12.979278,-38.460821,"Salvador - Bahia, Brazil",-12.9777334,-38.501648
3913,16687,ODATA S.A.,,ODATA DC SP01,,,http://www.odatacolocation.com,"{'service': 'website', 'identifier': 'http://www.odatacolocation.com'}",,,,,31,2,1,,,,,,,,South America,,,2017-04-12T11:56:40Z,2025-09-26T22:48:54Z,ok,"Estrada dos Romeiros , 943","Estrada dos Romeiros KM 39,2",Santana de Parnaiba,BR,SP,06501-001,,,,,"Santana de Parnaíba, São Paulo, Brazil",-23.4447994,-46.9182981
